"recordid","county","year","date","office","surname","prof","ncand","votes","location","writein","totalvotes","raceid","incumb","elected","first","sumvotes","percent"
200200996,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Pettigrew","Teacher",4,821,"SAN FRANCISCO","48","19899",200200450,"N",2,"Len",19851,0.0412583546911905
200200997,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Segal","Parks Commissioner",4,3147,"SAN FRANCISCO","48","19899",200200450,"N",2,"Lynne Newhouse",19851,0.158148650685964
200200998,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Dudum","Local Small Business Person",8,4145,"SAN FRANCISCO","20","18078",200200451,"N",3,"Ronald",18058,0.229284212855404
200200999,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Hermanson","Small Business Owner",8,1252,"SAN FRANCISCO","20","18078",200200451,"N",2,"Barry",18058,0.0692554486115721
200201000,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Jew","Manager/Business Owner",8,2915,"SAN FRANCISCO","20","18078",200200451,"N",2,"Ed",18058,0.161245713021352
200201001,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Lam","Real Estate Broker",8,675,"SAN FRANCISCO","20","18078",200200451,"N",2,"Marks",18058,0.0373382011284434
200201002,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Lee","Executive Director",8,2897,"SAN FRANCISCO","20","18078",200200451,"N",2,"Andrew",18058,0.160250027657927
200201003,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Lorretto","Realtor/Businesswoman",8,393,"SAN FRANCISCO","20","18078",200200451,"N",2,"Krista Spence",18058,0.0217391304347826
200201004,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Ma","CPA/Tax Accountant",8,4259,"SAN FRANCISCO","20","18078",200200451,"N",3,"Fiona",18058,0.235590220157097
200201005,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Ventresca","International Airport Administrator",8,1522,"SAN FRANCISCO","20","18078",200200451,"N",2,"Joel",18058,0.0841907290629494
200201006,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Daly","San Francisco Supervisor",9,6645,"SAN FRANCISCO","27","12977",200200452,"Y",1,"Chris",12950,0.512059798104338
200201007,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Dunn","Inventor",9,183,"SAN FRANCISCO","27","12977",200200452,"N",2,"James Leo",12950,0.0141018725437312
200201008,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Gordon","Neighborhood Development Director",9,1859,"SAN FRANCISCO","27","12977",200200452,"N",2,"Roger",12950,0.143253448408723
200201009,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Jackson","Business Person",9,343,"SAN FRANCISCO","27","12977",200200452,"N",2,"Arthur",12950,0.0264313785928951
200201010,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Jenkins","Community Relations Officer",9,274,"SAN FRANCISCO","27","12977",200200452,"N",2,"Garrett",12950,0.0211142791091932
200201011,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Moye","Scientist",9,304,"SAN FRANCISCO","27","12977",200200452,"N",2,"Malinka",12950,0.0234260614934114
200201012,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Power","Internet Applications Developer",9,199,"SAN FRANCISCO","27","12977",200200452,"N",2,"Robert N.",12950,0.0153348231486476
200201013,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Strunsky","Assistant District Attorney",9,1896,"SAN FRANCISCO","27","12977",200200452,"N",2,"Burke",12950,0.146104646682592
200201014,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Sweet","Civil Attorney/Mediator",9,1247,"SAN FRANCISCO","27","12977",200200452,"N",2,"Michael A.",12950,0.0960930877706712
200201015,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Dufty","Neighborhood Services Manager",6,8795,"SAN FRANCISCO","59","27101",200200453,"N",3,"Bevan",27042,0.324526770229881
200201016,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Green","Firefighter/Paramedic",6,1896,"SAN FRANCISCO","59","27101",200200453,"N",2,"James",27042,0.0699605180620641
200201017,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Hansen","Nonprofit Organization Consultant",6,9820,"SAN FRANCISCO","59","27101",200200453,"N",3,"Eileen",27042,0.362348252831999
200201018,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","O' Hearn","HIV Prevention Educator",6,485,"SAN FRANCISCO","59","27101",200200453,"N",2,"Shawn",27042,0.0178960185970997
200201019,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Radulovich","BART Director/Planner",6,5221,"SAN FRANCISCO","59","27101",200200453,"N",2,"Tom",27042,0.192649717722593
200201020,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Starchild","Exotic Dancer/Escort",6,825,"SAN FRANCISCO","59","27101",200200453,"N",2,NA,27042,0.0304416811187779
200201021,"SAN FRANCISCO",2002,2002-11-05,"COUNTY SUPERVISOR","Maxwell","Member/Board of Supervisors",1,9723,"SAN FRANCISCO","254","9977",200200454,"Y",1,"Sophie",9723,0.974541445324246
