"Location","Year","Series","Series Code","Permits"
"BREA",2019,"Total Units",1.0,709.0
"BREA",2019,"Units in Single-Family Structures",2.0,40.0
"BREA",2019,"Units in All Multi-Family Structures",3.0,669.0
"BRENTWOOD",2019,"Total Units",1.0,323.0
"BRENTWOOD",2019,"Units in Single-Family Structures",2.0,323.0
"BRENTWOOD",2019,"Units in All Multi-Family Structures",3.0,0
"BRISBANE",2019,"Total Units",1.0,6.0
"BRISBANE",2019,"Units in Single-Family Structures",2.0,2.0
"BRISBANE",2019,"Units in All Multi-Family Structures",3.0,4.0
"BUELLTON",2019,"Total Units",1.0,0
"BUELLTON",2019,"Units in Single-Family Structures",2.0,0
"BUELLTON",2019,"Units in All Multi-Family Structures",3.0,0
"BUENA PARK",2019,"Total Units",1.0,0
"BUENA PARK",2019,"Units in Single-Family Structures",2.0,0
"BUENA PARK",2019,"Units in All Multi-Family Structures",3.0,0
"BURBANK",2019,"Total Units",1.0,43.0
"BURBANK",2019,"Units in Single-Family Structures",2.0,43.0
"BURBANK",2019,"Units in All Multi-Family Structures",3.0,0
"BURLINGAME",2019,"Total Units",1.0,20.0
"BURLINGAME",2019,"Units in Single-Family Structures",2.0,20.0
"BURLINGAME",2019,"Units in All Multi-Family Structures",3.0,0
"BUTTE COUNTY UNINCORPORATED AREA",2019,"Total Units",1.0,220.0
"BUTTE COUNTY UNINCORPORATED AREA",2019,"Units in Single-Family Structures",2.0,220.0
"BUTTE COUNTY UNINCORPORATED AREA",2019,"Units in All Multi-Family Structures",3.0,0
"CALABASAS",2019,"Total Units",1.0,7.0
"CALABASAS",2019,"Units in Single-Family Structures",2.0,7.0
"CALABASAS",2019,"Units in All Multi-Family Structures",3.0,0
"CALAVERAS COUNTY UNINCORPORATED AREA",2019,"Total Units",1.0,110.0
"CALAVERAS COUNTY UNINCORPORATED AREA",2019,"Units in Single-Family Structures",2.0,110.0
"CALAVERAS COUNTY UNINCORPORATED AREA",2019,"Units in All Multi-Family Structures",3.0,0
"CALEXICO",2019,"Total Units",1.0,10.0
"CALEXICO",2019,"Units in Single-Family Structures",2.0,10.0
"CALEXICO",2019,"Units in All Multi-Family Structures",3.0,0
"Location","Year","Series","Series Code","Permits"
"CALIFORNIA CITY",2019,"Total Units",1.0,8.0
"CALIFORNIA CITY",2019,"Units in Single-Family Structures",2.0,8.0
"CALIFORNIA CITY",2019,"Units in All Multi-Family Structures",3.0,0
"CALIMESA",2019,"Total Units",1.0,286.0
"CALIMESA",2019,"Units in Single-Family Structures",2.0,286.0
"CALIMESA",2019,"Units in All Multi-Family Structures",3.0,0
"CALIPATRIA",2019,"Total Units",1.0,0
"CALIPATRIA",2019,"Units in Single-Family Structures",2.0,0
"CALIPATRIA",2019,"Units in All Multi-Family Structures",3.0,0
"CALISTOGA",2019,"Total Units",1.0,5.0
"CALISTOGA",2019,"Units in Single-Family Structures",2.0,5.0
"CALISTOGA",2019,"Units in All Multi-Family Structures",3.0,0
"CAMARILLO",2019,"Total Units",1.0,260.0
"CAMARILLO",2019,"Units in Single-Family Structures",2.0,49.0
"CAMARILLO",2019,"Units in All Multi-Family Structures",3.0,211.0
"CAMPBELL",2019,"Total Units",1.0,51.0
"CAMPBELL",2019,"Units in Single-Family Structures",2.0,51.0
"CAMPBELL",2019,"Units in All Multi-Family Structures",3.0,0
"CANYON LAKE",2019,"Total Units",1.0,14.0
"CANYON LAKE",2019,"Units in Single-Family Structures",2.0,14.0
"CANYON LAKE",2019,"Units in All Multi-Family Structures",3.0,0
"CAPITOLA",2019,"Total Units",1.0,15.0
"CAPITOLA",2019,"Units in Single-Family Structures",2.0,13.0
"CAPITOLA",2019,"Units in All Multi-Family Structures",3.0,2.0
"CARLSBAD",2019,"Total Units",1.0,293.0
"CARLSBAD",2019,"Units in Single-Family Structures",2.0,227.0
"CARLSBAD",2019,"Units in All Multi-Family Structures",3.0,66.0
"CARMEL-BY-THE-SEA",2019,"Total Units",1.0,6.0
"CARMEL-BY-THE-SEA",2019,"Units in Single-Family Structures",2.0,6.0
"CARMEL-BY-THE-SEA",2019,"Units in All Multi-Family Structures",3.0,0
"CARPINTERIA",2019,"Total Units",1.0,34.0
"CARPINTERIA",2019,"Units in Single-Family Structures",2.0,12.0
"CARPINTERIA",2019,"Units in All Multi-Family Structures",3.0,22.0
"CARSON",2019,"Total Units",1.0,209.0
"CARSON",2019,"Units in Single-Family Structures",2.0,9.0
"CARSON",2019,"Units in All Multi-Family Structures",3.0,200.0
"CATHEDRAL CITY",2019,"Total Units",1.0,144.0
"CATHEDRAL CITY",2019,"Units in Single-Family Structures",2.0,142.0
"CATHEDRAL CITY",2019,"Units in All Multi-Family Structures",3.0,2.0
"CERES",2019,"Total Units",1.0,61.0
"CERES",2019,"Units in Single-Family Structures",2.0,61.0
"CERES",2019,"Units in All Multi-Family Structures",3.0,0
"CERRITOS",2019,"Total Units",1.0,0
"CERRITOS",2019,"Units in Single-Family Structures",2.0,0
"CERRITOS",2019,"Units in All Multi-Family Structures",3.0,0
"CHICO",2019,"Total Units",1.0,822.0
"CHICO",2019,"Units in Single-Family Structures",2.0,293.0
"CHICO",2019,"Units in All Multi-Family Structures",3.0,529.0
"CHINO",2019,"Total Units",1.0,531.0
"CHINO",2019,"Units in Single-Family Structures",2.0,531.0
"CHINO",2019,"Units in All Multi-Family Structures",3.0,0
"CHINO HILLS",2019,"Total Units",1.0,76.0
"CHINO HILLS",2019,"Units in Single-Family Structures",2.0,76.0
"CHINO HILLS",2019,"Units in All Multi-Family Structures",3.0,0
"CHOWCHILLA",2019,"Total Units",1.0,11.0
"CHOWCHILLA",2019,"Units in Single-Family Structures",2.0,11.0
"CHOWCHILLA",2019,"Units in All Multi-Family Structures",3.0,0
"CHULA VISTA",2019,"Total Units",1.0,839.0
"CHULA VISTA",2019,"Units in Single-Family Structures",2.0,282.0
"CHULA VISTA",2019,"Units in All Multi-Family Structures",3.0,557.0
"CITRUS HEIGHTS",2019,"Total Units",1.0,15.0
"CITRUS HEIGHTS",2019,"Units in Single-Family Structures",2.0,15.0
"CITRUS HEIGHTS",2019,"Units in All Multi-Family Structures",3.0,0
"CLAREMONT",2019,"Total Units",1.0,140.0
"CLAREMONT",2019,"Units in Single-Family Structures",2.0,25.0
"CLAREMONT",2019,"Units in All Multi-Family Structures",3.0,115.0
"CLEARLAKE",2019,"Total Units",1.0,17.0
"CLEARLAKE",2019,"Units in Single-Family Structures",2.0,17.0
"CLEARLAKE",2019,"Units in All Multi-Family Structures",3.0,0
"CLOVERDALE",2019,"Total Units",1.0,30.0
"CLOVERDALE",2019,"Units in Single-Family Structures",2.0,8.0
"CLOVERDALE",2019,"Units in All Multi-Family Structures",3.0,22.0
"CLOVIS",2019,"Total Units",1.0,1142.0
"CLOVIS",2019,"Units in Single-Family Structures",2.0,760.0
"CLOVIS",2019,"Units in All Multi-Family Structures",3.0,382.0
"COACHELLA",2019,"Total Units",1.0,6.0
"COACHELLA",2019,"Units in Single-Family Structures",2.0,6.0
"COACHELLA",2019,"Units in All Multi-Family Structures",3.0,0
"COALINGA",2019,"Total Units",1.0,70.0
"COALINGA",2019,"Units in Single-Family Structures",2.0,70.0
"COALINGA",2019,"Units in All Multi-Family Structures",3.0,0
"COLFAX",2019,"Total Units",1.0,20.0
"COLFAX",2019,"Units in Single-Family Structures",2.0,20.0
"COLFAX",2019,"Units in All Multi-Family Structures",3.0,0
"COLMA TOWN",2019,"Total Units",1.0,0
"COLMA TOWN",2019,"Units in Single-Family Structures",2.0,0
"COLMA TOWN",2019,"Units in All Multi-Family Structures",3.0,0
"COLTON",2019,"Total Units",1.0,65.0
"COLTON",2019,"Units in Single-Family Structures",2.0,65.0
"COLTON",2019,"Units in All Multi-Family Structures",3.0,0
"Location","Year","Series","Series Code","Permits"
"COLUSA",2019,"Total Units",1.0,0
"COLUSA",2019,"Units in Single-Family Structures",2.0,0
"COLUSA",2019,"Units in All Multi-Family Structures",3.0,0
"COLUSA COUNTY UNINCORPORATED AREA",2019,"Total Units",1.0,8.0
"COLUSA COUNTY UNINCORPORATED AREA",2019,"Units in Single-Family Structures",2.0,8.0
"COLUSA COUNTY UNINCORPORATED AREA",2019,"Units in All Multi-Family Structures",3.0,0
"COMMERCE",2019,"Total Units",1.0,0
"COMMERCE",2019,"Units in Single-Family Structures",2.0,0
"COMMERCE",2019,"Units in All Multi-Family Structures",3.0,0
"COMPTON",2019,"Total Units",1.0,42.0
"COMPTON",2019,"Units in Single-Family Structures",2.0,29.0
"COMPTON",2019,"Units in All Multi-Family Structures",3.0,13.0
"CONCORD",2019,"Total Units",1.0,38.0
"CONCORD",2019,"Units in Single-Family Structures",2.0,38.0
"CONCORD",2019,"Units in All Multi-Family Structures",3.0,0
"CONTRA COSTA COUNTY UNINCORPORATED AREA",2019,"Total Units",1.0,849.0
"CONTRA COSTA COUNTY UNINCORPORATED AREA",2019,"Units in Single-Family Structures",2.0,350.0
"CONTRA COSTA COUNTY UNINCORPORATED AREA",2019,"Units in All Multi-Family Structures",3.0,499.0
"CORCORAN",2019,"Total Units",1.0,51.0
"CORCORAN",2019,"Units in Single-Family Structures",2.0,49.0
"CORCORAN",2019,"Units in All Multi-Family Structures",3.0,2.0
"CORNING",2019,"Total Units",1.0,32.0
"CORNING",2019,"Units in Single-Family Structures",2.0,32.0
"CORNING",2019,"Units in All Multi-Family Structures",3.0,0
"CORONA",2019,"Total Units",1.0,593.0
"CORONA",2019,"Units in Single-Family Structures",2.0,216.0
"CORONA",2019,"Units in All Multi-Family Structures",3.0,377.0
"CORONADO",2019,"Total Units",1.0,32.0
"CORONADO",2019,"Units in Single-Family Structures",2.0,22.0
"CORONADO",2019,"Units in All Multi-Family Structures",3.0,10.0
"CORTE MADERA TOWN",2019,"Total Units",1.0,0
"CORTE MADERA TOWN",2019,"Units in Single-Family Structures",2.0,0
"CORTE MADERA TOWN",2019,"Units in All Multi-Family Structures",3.0,0
"COSTA MESA",2019,"Total Units",1.0,185.0
"COSTA MESA",2019,"Units in Single-Family Structures",2.0,74.0
"COSTA MESA",2019,"Units in All Multi-Family Structures",3.0,111.0
"COTATI",2019,"Total Units",1.0,2.0
"COTATI",2019,"Units in Single-Family Structures",2.0,2.0
"COTATI",2019,"Units in All Multi-Family Structures",3.0,0
"COVINA",2019,"Total Units",1.0,4.0
"COVINA",2019,"Units in Single-Family Structures",2.0,4.0
"COVINA",2019,"Units in All Multi-Family Structures",3.0,0
"CRESCENT CITY",2019,"Total Units",1.0,3.0
"CRESCENT CITY",2019,"Units in Single-Family Structures",2.0,1.0
"CRESCENT CITY",2019,"Units in All Multi-Family Structures",3.0,2.0
"CUDAHY",2019,"Total Units",1.0,2.0
"CUDAHY",2019,"Units in Single-Family Structures",2.0,2.0
"CUDAHY",2019,"Units in All Multi-Family Structures",3.0,0
"CULVER CITY",2019,"Total Units",1.0,31.0
"CULVER CITY",2019,"Units in Single-Family Structures",2.0,14.0
"CULVER CITY",2019,"Units in All Multi-Family Structures",3.0,17.0
"CUPERTINO",2019,"Total Units",1.0,68.0
"CUPERTINO",2019,"Units in Single-Family Structures",2.0,68.0
"CUPERTINO",2019,"Units in All Multi-Family Structures",3.0,0
"CYPRESS",2019,"Total Units",1.0,190.0
"CYPRESS",2019,"Units in Single-Family Structures",2.0,190.0
"CYPRESS",2019,"Units in All Multi-Family Structures",3.0,0
"DALY CITY",2019,"Total Units",1.0,72.0
"DALY CITY",2019,"Units in Single-Family Structures",2.0,72.0
"DALY CITY",2019,"Units in All Multi-Family Structures",3.0,0
"DANA POINT",2019,"Total Units",1.0,92.0
"DANA POINT",2019,"Units in Single-Family Structures",2.0,82.0
"DANA POINT",2019,"Units in All Multi-Family Structures",3.0,10.0
"DANVILLE",2019,"Total Units",1.0,0
"DANVILLE",2019,"Units in Single-Family Structures",2.0,0
"DANVILLE",2019,"Units in All Multi-Family Structures",3.0,0
"DANVILLE TOWN",2019,"Total Units",1.0,184.0
"DANVILLE TOWN",2019,"Units in Single-Family Structures",2.0,40.0
"DANVILLE TOWN",2019,"Units in All Multi-Family Structures",3.0,144.0
"DAVIS",2019,"Total Units",1.0,38.0
"DAVIS",2019,"Units in Single-Family Structures",2.0,28.0
"DAVIS",2019,"Units in All Multi-Family Structures",3.0,10.0
"DEL MAR",2019,"Total Units",1.0,10.0
"DEL MAR",2019,"Units in Single-Family Structures",2.0,10.0
"DEL MAR",2019,"Units in All Multi-Family Structures",3.0,0
"DEL NORTE COUNTY UNINCORPORATED AREA",2019,"Total Units",1.0,27.0
"DEL NORTE COUNTY UNINCORPORATED AREA",2019,"Units in Single-Family Structures",2.0,27.0
"DEL NORTE COUNTY UNINCORPORATED AREA",2019,"Units in All Multi-Family Structures",3.0,0
"DEL REY OAKS",2019,"Total Units",1.0,0
"DEL REY OAKS",2019,"Units in Single-Family Structures",2.0,0
"DEL REY OAKS",2019,"Units in All Multi-Family Structures",3.0,0
"DELANO",2019,"Total Units",1.0,70.0
"DELANO",2019,"Units in Single-Family Structures",2.0,70.0
"DELANO",2019,"Units in All Multi-Family Structures",3.0,0
"DESERT HOT SPRINGS",2019,"Total Units",1.0,22.0
"DESERT HOT SPRINGS",2019,"Units in Single-Family Structures",2.0,22.0
"DESERT HOT SPRINGS",2019,"Units in All Multi-Family Structures",3.0,0
"DIAMOND BAR",2019,"Total Units",1.0,16.0
"DIAMOND BAR",2019,"Units in Single-Family Structures",2.0,16.0
"DIAMOND BAR",2019,"Units in All Multi-Family Structures",3.0,0
"Location","Year","Series","Series Code","Permits"
"DINUBA",2019,"Total Units",1.0,236.0
"DINUBA",2019,"Units in Single-Family Structures",2.0,236.0
"DINUBA",2019,"Units in All Multi-Family Structures",3.0,0
"DIXON",2019,"Total Units",1.0,105.0
"DIXON",2019,"Units in Single-Family Structures",2.0,105.0
"DIXON",2019,"Units in All Multi-Family Structures",3.0,0
"DORRIS",2019,"Total Units",1.0,0
"DORRIS",2019,"Units in Single-Family Structures",2.0,0
"DORRIS",2019,"Units in All Multi-Family Structures",3.0,0
"DOS PALOS",2019,"Total Units",1.0,2.0
"DOS PALOS",2019,"Units in Single-Family Structures",2.0,2.0
"DOS PALOS",2019,"Units in All Multi-Family Structures",3.0,0
"DOWNEY",2019,"Total Units",1.0,36.0
"DOWNEY",2019,"Units in Single-Family Structures",2.0,20.0
"DOWNEY",2019,"Units in All Multi-Family Structures",3.0,16.0
"DUARTE",2019,"Total Units",1.0,186.0
"DUARTE",2019,"Units in Single-Family Structures",2.0,22.0
"DUARTE",2019,"Units in All Multi-Family Structures",3.0,164.0
"DUBLIN",2019,"Total Units",1.0,241.0
"DUBLIN",2019,"Units in Single-Family Structures",2.0,145.0
"DUBLIN",2019,"Units in All Multi-Family Structures",3.0,96.0
"DUNSMUIR",2019,"Total Units",1.0,0
"DUNSMUIR",2019,"Units in Single-Family Structures",2.0,0
"DUNSMUIR",2019,"Units in All Multi-Family Structures",3.0,0
"EAST PALO ALTO",2019,"Total Units",1.0,6.0
"EAST PALO ALTO",2019,"Units in Single-Family Structures",2.0,6.0
"EAST PALO ALTO",2019,"Units in All Multi-Family Structures",3.0,0
"EASTVALE",2019,"Total Units",1.0,301.0
"EASTVALE",2019,"Units in Single-Family Structures",2.0,301.0
"EASTVALE",2019,"Units in All Multi-Family Structures",3.0,0
"EL CAJON",2019,"Total Units",1.0,151.0
"EL CAJON",2019,"Units in Single-Family Structures",2.0,149.0
"EL CAJON",2019,"Units in All Multi-Family Structures",3.0,2.0
"EL CENTRO",2019,"Total Units",1.0,86.0
"EL CENTRO",2019,"Units in Single-Family Structures",2.0,14.0
"EL CENTRO",2019,"Units in All Multi-Family Structures",3.0,72.0
"EL CERRITO",2019,"Total Units",1.0,49.0
"EL CERRITO",2019,"Units in Single-Family Structures",2.0,34.0
"EL CERRITO",2019,"Units in All Multi-Family Structures",3.0,15.0
"EL DORADO COUNTY UNINCORPORATED AREA",2019,"Total Units",1.0,558.0
"EL DORADO COUNTY UNINCORPORATED AREA",2019,"Units in Single-Family Structures",2.0,558.0
"EL DORADO COUNTY UNINCORPORATED AREA",2019,"Units in All Multi-Family Structures",3.0,0
"EL MONTE",2019,"Total Units",1.0,87.0
"EL MONTE",2019,"Units in Single-Family Structures",2.0,35.0
"EL MONTE",2019,"Units in All Multi-Family Structures",3.0,52.0
"EL SEGUNDO",2019,"Total Units",1.0,11.0
"EL SEGUNDO",2019,"Units in Single-Family Structures",2.0,8.0
"EL SEGUNDO",2019,"Units in All Multi-Family Structures",3.0,3.0
"ELDORADO COUNTY UNINCORPORATED AREA",2019,"Total Units",1.0,0
"ELDORADO COUNTY UNINCORPORATED AREA",2019,"Units in Single-Family Structures",2.0,0
"ELDORADO COUNTY UNINCORPORATED AREA",2019,"Units in All Multi-Family Structures",3.0,0
"ELK GROVE",2019,"Total Units",1.0,764.0
"ELK GROVE",2019,"Units in Single-Family Structures",2.0,764.0
"ELK GROVE",2019,"Units in All Multi-Family Structures",3.0,0
"EMERYVILLE",2019,"Total Units",1.0,1.0
"EMERYVILLE",2019,"Units in Single-Family Structures",2.0,1.0
"EMERYVILLE",2019,"Units in All Multi-Family Structures",3.0,0
"ENCINITAS",2019,"Total Units",1.0,185.0
"ENCINITAS",2019,"Units in Single-Family Structures",2.0,185.0
"ENCINITAS",2019,"Units in All Multi-Family Structures",3.0,0
"ESCALON",2019,"Total Units",1.0,9.0
"ESCALON",2019,"Units in Single-Family Structures",2.0,9.0
"ESCALON",2019,"Units in All Multi-Family Structures",3.0,0
"ESCONDIDO",2019,"Total Units",1.0,23.0
"ESCONDIDO",2019,"Units in Single-Family Structures",2.0,23.0
"ESCONDIDO",2019,"Units in All Multi-Family Structures",3.0,0
"ETNA",2019,"Total Units",1.0,0
"ETNA",2019,"Units in Single-Family Structures",2.0,0
"ETNA",2019,"Units in All Multi-Family Structures",3.0,0
"EUREKA",2019,"Total Units",1.0,4.0
"EUREKA",2019,"Units in Single-Family Structures",2.0,4.0
"EUREKA",2019,"Units in All Multi-Family Structures",3.0,0
"EXETER",2019,"Total Units",1.0,0
"EXETER",2019,"Units in Single-Family Structures",2.0,0
"EXETER",2019,"Units in All Multi-Family Structures",3.0,0
"FAIRFAX TOWN",2019,"Total Units",1.0,0
"FAIRFAX TOWN",2019,"Units in Single-Family Structures",2.0,0
"FAIRFAX TOWN",2019,"Units in All Multi-Family Structures",3.0,0
"FAIRFIELD",2019,"Total Units",1.0,348.0
"FAIRFIELD",2019,"Units in Single-Family Structures",2.0,348.0
